[1776464692.588507] tid=1810269  OPEN  fd=4  (O_RDWR)  → /dev/hidraw3
[1776464692.644085] tid=1810269  IOCTL fd=4  ioctl(4, HIDIOCGRDESCSIZE or HIDIOCGVERSION, 0x7fffc1bc82fc) = 0
[1776464694.559543] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464694.560250] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464694.761803] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464694.762033] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464694.962910] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464694.963204] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464695.164339] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464695.168188] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464695.372975] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464695.373334] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464695.577080] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464695.577441] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464695.779099] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464695.779372] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464695.980172] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464695.980447] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464696.181524] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464696.182401] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464696.383448] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464696.383839] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464696.584898] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464696.585227] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464696.786268] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464696.786515] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464696.987342] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464696.987724] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464697.188980] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464697.189261] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464697.391481] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464697.391883] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464697.593071] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464697.593427] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464697.794294] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464697.794579] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464697.995454] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464697.996116] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464698.197149] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464698.197405] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464698.398004] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464698.398321] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464698.599168] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464698.599464] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464698.803126] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
[1776464698.803767] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCGFEATURE(17), 0x5555c40f1190) = 17
[1776464699.004418] tid=1810269  IOCTL fd=5  ioctl(5, HIDIOCSFEATURE(16), 0x5555c40f2890) = 16
